,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_count,param_dim_reduce,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
127,9.335276365280151,0.08647851360281393,2.047254467010498,0.07988365584528434,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=3, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=3, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9789156626506024,0.9759036144578314,0.945619335347432,0.9667673716012085,0.9637462235649547,0.9661904415244058,0.011711143754871953,16
142,9.138537931442261,0.07935042229379752,2.049371099472046,0.0819945738693517,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=5, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=5, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9819277108433735,0.9759036144578314,0.9425981873111783,0.9667673716012085,0.9637462235649547,0.9661886215557093,0.013452946637070237,17
234,10.52869372367859,0.26170297358536343,2.0397629261016847,0.08615924803658341,GaussianNB(),"CountVectorizer(min_df=5,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english')","NMF(init='random', n_components=50, random_state=42)","{'clf': GaussianNB(), 'count': CountVectorizer(min_df=5,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english'), 'dim_reduce': NMF(init='random', n_components=50, random_state=42)}",0.9608433734939759,0.9728915662650602,0.9788519637462235,0.9607250755287009,0.9546827794561934,0.9655989516980309,0.008880963517041348,18
137,18.673188734054566,0.16375261794686008,4.422877359390259,0.15765428198480153,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=5, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=5, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9819277108433735,0.9728915662650602,0.945619335347432,0.9667673716012085,0.9607250755287009,0.965586211917155,0.012199301081955442,19
122,19.03873143196106,0.1700651735449349,4.442601346969605,0.16073764024424242,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=3, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=3, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9819277108433735,0.9759036144578314,0.945619335347432,0.9667673716012085,0.9577039274924471,0.9655843919484584,0.012928225490625557,20
204,10.11883635520935,0.3645142368695703,2.0586804389953612,0.081071235966116,GaussianNB(),"CountVectorizer(min_df=5, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english')","NMF(init='random', n_components=50, random_state=42)","{'clf': GaussianNB(), 'count': CountVectorizer(min_df=5, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english'), 'dim_reduce': NMF(init='random', n_components=50, random_state=42)}",0.9728915662650602,0.9668674698795181,0.9667673716012085,0.9607250755287009,0.9577039274924471,0.9649910821533869,0.00529896442475965,21
162,2.049941062927246,0.029833435314668335,0.0686373233795166,0.0018361672995198847,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompressNC at 0x177105f70>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompressNC at 0x177105f70>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9759036144578314,0.9668674698795181,0.9486404833836858,0.9637462235649547,0.9697885196374623,0.9649892621846904,0.009105068204900455,22
177,1.7097247123718262,0.09678444961064807,0.06454863548278808,0.0022865909705630802,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=5,
                preprocessor=<function preprocessNoCompressNC at 0x177105f70>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=5,
                preprocessor=<function preprocessNoCompressNC at 0x177105f70>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9728915662650602,0.9698795180722891,0.9486404833836858,0.9637462235649547,0.9697885196374623,0.9649892621846904,0.008697374291326578,22
52,9.076345205307007,0.08143426856889431,2.039341926574707,0.07723009770773337,SVC(kernel='linear'),"CountVectorizer(min_df=5,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': SVC(kernel='linear'), 'count': CountVectorizer(min_df=5,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9789156626506024,0.9759036144578314,0.9486404833836858,0.9637462235649547,0.9577039274924471,0.9649819823099042,0.01126917268807805,24
2,19.89106955528259,1.4473890137663905,4.5482926845550535,0.21214588527114694,SVC(kernel='linear'),"CountVectorizer(min_df=3, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': SVC(kernel='linear'), 'count': CountVectorizer(min_df=3, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9849397590361446,0.9728915662650602,0.945619335347432,0.9637462235649547,0.9577039274924471,0.9649801623412075,0.013343789811231715,25
102,2.0025479793548584,0.02383655290663482,0.06838517189025879,0.002197585761405114,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompressNC at 0x177105f70>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompressNC at 0x177105f70>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9668674698795181,0.9759036144578314,0.9516616314199395,0.9667673716012085,0.9607250755287009,0.9643850325774397,0.007997449410049413,26
7,150.00903759002685,280.9912026245657,190.94289035797118,377.8047409914416,SVC(kernel='linear'),"CountVectorizer(min_df=3, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': SVC(kernel='linear'), 'count': CountVectorizer(min_df=3, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9849397590361446,0.9698795180722891,0.945619335347432,0.9607250755287009,0.9607250755287009,0.9643777527026535,0.012896727099446226,27
17,19.639771270751954,0.6610009528931946,4.610061120986939,0.28620293751793124,SVC(kernel='linear'),"CountVectorizer(min_df=5, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': SVC(kernel='linear'), 'count': CountVectorizer(min_df=5, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9849397590361446,0.9728915662650602,0.945619335347432,0.9637462235649547,0.9546827794561934,0.9643759327339569,0.013722613936466573,28
184,20.94504690170288,0.9818160712502126,4.475599193572998,0.09508958904615689,GaussianNB(),"CountVectorizer(min_df=3, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english')","NMF(init='random', n_components=50, random_state=42)","{'clf': GaussianNB(), 'count': CountVectorizer(min_df=3, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english'), 'dim_reduce': NMF(init='random', n_components=50, random_state=42)}",0.963855421686747,0.963855421686747,0.972809667673716,0.9607250755287009,0.9577039274924471,0.9637899028136715,0.005055630632734242,29
74,4.49052243232727,0.8474674332059348,0.16835508346557618,0.004728263865354439,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english')","NMF(init='random', n_components=50, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english'), 'dim_reduce': NMF(init='random', n_components=50, random_state=42)}",0.9759036144578314,0.963855421686747,0.9577039274924471,0.9697885196374623,0.9516616314199395,0.9637826229388855,0.008565786641598462,30
57,1.8449455738067626,0.15977577891840378,0.09631648063659667,0.0018565898964445213,SVC(kernel='linear'),"CountVectorizer(min_df=5,
                preprocessor=<function preprocessNoCompressNC at 0x177105f70>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': SVC(kernel='linear'), 'count': CountVectorizer(min_df=5,
                preprocessor=<function preprocessNoCompressNC at 0x177105f70>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9728915662650602,0.9698795180722891,0.9486404833836858,0.9667673716012085,0.9607250755287009,0.9637808029701889,0.008575391224634164,31
42,2.1832561016082765,0.04631111767585781,0.10089311599731446,0.0018700572568803857,SVC(kernel='linear'),"CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompressNC at 0x177105f70>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': SVC(kernel='linear'), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompressNC at 0x177105f70>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9728915662650602,0.9698795180722891,0.945619335347432,0.9667673716012085,0.9637462235649547,0.9637808029701889,0.009580814452302713,31
62,19.518863868713378,0.1380533729077716,4.558140802383423,0.24053301865518137,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=3, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=3, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9789156626506024,0.9698795180722891,0.9425981873111783,0.972809667673716,0.9546827794561934,0.9637771630327958,0.013260888907232758,33
47,20.66554388999939,0.7370352766170752,4.767797565460205,0.1998467757532787,SVC(kernel='linear'),"CountVectorizer(min_df=5, preprocessor=<function preprocessNC at 0x177105e50>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': SVC(kernel='linear'), 'count': CountVectorizer(min_df=5, preprocessor=<function preprocessNC at 0x177105e50>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9728915662650602,0.9789156626506024,0.9486404833836858,0.9637462235649547,0.9546827794561934,0.9637753430640992,0.01117205747466454,34
199,20.66187834739685,0.6996493577882403,4.549389457702636,0.21072775867987675,GaussianNB(),"CountVectorizer(min_df=5, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english')","NMF(init='random', n_components=50, random_state=42)","{'clf': GaussianNB(), 'count': CountVectorizer(min_df=5, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english'), 'dim_reduce': NMF(init='random', n_components=50, random_state=42)}",0.9608433734939759,0.963855421686747,0.9607250755287009,0.9667673716012085,0.9637462235649547,0.9631874931751174,0.0022419739265061257,35
92,20.047810649871828,0.19369854951993873,4.661859130859375,0.1716021783136651,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=3, preprocessor=<function preprocessNC at 0x177105e50>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=3, preprocessor=<function preprocessNC at 0x177105e50>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9728915662650602,0.9668674698795181,0.9486404833836858,0.9607250755287009,0.9667673716012085,0.9631783933316347,0.008224419409625348,36
22,9.275484609603883,0.10612223693771762,2.0798276901245116,0.07992860812203316,SVC(kernel='linear'),"CountVectorizer(min_df=5, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': SVC(kernel='linear'), 'count': CountVectorizer(min_df=5, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9819277108433735,0.9789156626506024,0.9365558912386707,0.9607250755287009,0.9577039274924471,0.9631656535507588,0.01639477906786261,37
77,19.061254262924194,0.48019480639154294,4.461818218231201,0.1547792051373378,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=5, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=5, preprocessor=<function preprocess at 0x177105a60>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9789156626506024,0.9608433734939759,0.9425981873111783,0.9697885196374623,0.9607250755287009,0.962574163724384,0.012037823009449887,38
107,19.690205526351928,0.18511989749220215,4.656772422790527,0.16927100472209675,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=5, preprocessor=<function preprocessNC at 0x177105e50>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=5, preprocessor=<function preprocessNC at 0x177105e50>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9668674698795181,0.9759036144578314,0.9516616314199395,0.9637462235649547,0.9546827794561934,0.9625723437556875,0.008704455747137222,39
152,20.03786745071411,0.20055976522782845,4.662446928024292,0.1691535445128245,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=3, preprocessor=<function preprocessNC at 0x177105e50>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=3, preprocessor=<function preprocessNC at 0x177105e50>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9728915662650602,0.9759036144578314,0.945619335347432,0.9577039274924471,0.9607250755287009,0.9625687038182944,0.010942828120655656,40
194,4.546803760528564,0.8654803337676686,0.16733899116516113,0.005898510874995359,GaussianNB(),"CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english')","NMF(init='random', n_components=50, random_state=42)","{'clf': GaussianNB(), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english'), 'dim_reduce': NMF(init='random', n_components=50, random_state=42)}",0.9608433734939759,0.9759036144578314,0.9637462235649547,0.9607250755287009,0.9486404833836858,0.9619717540858298,0.008692476103803956,41
167,19.787585401535033,0.1844327519230847,4.671061229705811,0.16843676950922518,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=5, preprocessor=<function preprocessNC at 0x177105e50>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=5, preprocessor=<function preprocessNC at 0x177105e50>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9698795180722891,0.9698795180722891,0.9516616314199395,0.9607250755287009,0.9577039274924471,0.961969934117133,0.007087067469854494,42
